AWB Number,Order ID,SKU No,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Billing_Amount
1091117223351.00,2001806471.00,8904223818850.00,1,240,0.24,0.5,1.7,2,d,d,45.4,179.8
1091117223351.00,2001806471.00,8904223818850.00,2,240,0.48,1,1.7,2,d,d,45.4,179.8
1091117224353.00,2001806533.00,8904223818850.00,1,240,0.24,0.5,0.68,1,d,d,45.4,90.2
1091117225016.00,2001806575.00,8904223818850.00,1,240,0.24,0.5,0.68,1,b,b,33,61.3
1091117226221.00,2001806652.00,8904223818850.00,1,240,0.24,0.5,0.69,1,d,d,45.4,90.2
1091117226910.00,2001806726.00,8904223818850.00,1,240,0.24,0.5,0.68,1,d,d,45.4,90.2
1091117226674.00,2001806733.00,8904223818850.00,1,240,0.24,0.5,1.13,1.49,d,d,45.4,135
1091117226711.00,2001806735.00,8904223818850.00,1,240,0.24,0.5,0.69,1,d,d,45.4,90.2
1091117227816.00,2001806801.00,8904223818850.00,1,240,0.24,0.5,1.35,1.49,b,b,33,89.6
1091117228192.00,2001806828.00,8904223818850.00,1,240,0.24,0.5,0.69,1,d,d,45.4,90.2
1091117229183.00,2001806968.00,8904223818850.00,1,240,0.24,0.5,0.68,1,d,d,45.4,90.2
1091117229290.00,2001807004.00,8904223818850.00,1,240,0.24,0.5,0.68,1,d,d,45.4,90.2
1091117323215.00,2001807084.00,8904223818850.00,1,240,0.24,0.5,0.67,1,d,d,45.4,90.2
1091117323812.00,2001807186.00,8904223818850.00,1,240,0.24,0.5,0.5,1,d,d,45.4,45.4
1091117324011.00,2001807241.00,8904223818850.00,1,240,0.24,0.5,0.79,1,d,d,45.4,90.2
1091117324206.00,2001807290.00,8904223818850.00,1,240,0.24,0.5,0.5,1,d,d,45.4,45.4
1091117333100.00,2001807329.00,8904223818850.00,1,240,0.24,0.5,0.73,1,d,d,45.4,90.2
1091117325094.00,2001807415.00,8904223818850.00,2,240,0.48,1,1,1,b,b,33,61.3
1091117326424.00,2001807785.00,8904223818850.00,1,240,0.24,0.5,0.68,1,d,d,45.4,90.2
1091117326612.00,2001807814.00,8904223818850.00,1,240,0.24,0.5,0.79,1,b,b,33,61.3
1091117326925.00,2001807852.00,8904223818850.00,1,240,0.24,0.5,0.74,1,d,d,45.4,90.2
1091117327172.00,2001807931.00,8904223818850.00,1,240,0.24,0.5,0.72,1,d,d,45.4,90.2
1091117327275.00,2001807956.00,8904223818850.00,1,240,0.24,0.5,1.08,1.49,b,b,33,89.6
1091117327312.00,2001807960.00,8904223818850.00,1,240,0.24,0.5,1,1,d,d,45.4,90.2
